Date,Value,TradesMade,Rank
10/13/2023 12:00:00 AM,98702.4,6,1
10/14/2023 12:00:00 AM,98702.4,6,1
10/15/2023 12:00:00 AM,98702.4,6,1
10/16/2023 12:00:00 AM,99745.21,6,1
10/17/2023 12:00:00 AM,99702.59,6,1
10/18/2023 12:00:00 AM,98561.02,6,1
10/19/2023 12:00:00 AM,97779.42,6,2
10/20/2023 12:00:00 AM,96622.061,6,2
10/21/2023 12:00:00 AM,96622.061,6,2
10/22/2023 12:00:00 AM,96622.061,6,2
10/23/2023 12:00:00 AM,96558.251,6,2
10/24/2023 12:00:00 AM,97327.731,6,2
10/25/2023 12:00:00 AM,96184.641,6,2
10/26/2023 12:00:00 AM,94786.891,6,2
10/27/2023 12:00:00 AM,94719.001,6,2
10/28/2023 12:00:00 AM,94719.001,6,2
10/29/2023 12:00:00 AM,94719.001,6,2
10/30/2023 12:00:00 AM,96066.731,6,2
10/31/2023 12:00:00 AM,96598.721,6,2
11/1/2023 12:00:00 AM,97809.631,6,2
